sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error,mae_rank,mse_rank,r2_rank,worst_error_rank,avg_rank
7,1,300,20.0,99,2229,24.197669473055186,16.083848497083896,0.8198217547809236,70.80211279761907,126.5,134.5,154.5,230.5,161.5
7,1,300,30.0,99,2229,24.197669473055186,16.083848497083896,0.8198217547809236,70.80211279761907,126.5,134.5,154.5,230.5,161.5
7,1,300,10.0,99,2229,24.197669473055186,16.083848497083896,0.8198217547809236,70.80211279761907,126.5,134.5,154.5,230.5,161.5
7,6,200,10.0,99,2229,24.35109007594823,15.062359802602064,0.8190591011016986,75.7035714285714,2.5,166.5,172.5,308.5,162.5
7,6,200,20.0,99,2229,24.35109007594823,15.062359802602064,0.8190591011016986,75.7035714285714,2.5,166.5,172.5,308.5,162.5
7,6,200,30.0,99,2229,24.35109007594823,15.062359802602064,0.8190591011016986,75.7035714285714,2.5,166.5,172.5,308.5,162.5
7,6,200,,99,2229,24.35109007594823,15.062359802602064,0.8190591011016986,75.7035714285714,2.5,166.5,172.5,308.5,162.5
7,6,300,,99,2229,24.351090075948232,15.062359802602076,0.8190591011016986,75.7035714285714,14.5,170.5,172.5,308.5,166.5
7,6,300,30.0,99,2229,24.351090075948232,15.062359802602076,0.8190591011016986,75.7035714285714,14.5,170.5,172.5,308.5,166.5
7,6,300,20.0,99,2229,24.351090075948232,15.062359802602076,0.8190591011016986,75.7035714285714,14.5,170.5,172.5,308.5,166.5
7,6,300,10.0,99,2229,24.351090075948232,15.062359802602076,0.8190591011016986,75.7035714285714,14.5,170.5,172.5,308.5,166.5
30,6,100,,99,2206,24.369494197198176,16.232779465095195,0.8210580148382391,70.4691144144144,178.0,186.0,134.0,178.0,169.0
30,6,100,30.0,99,2206,24.369494197198176,16.232779465095195,0.8210580148382391,70.4691144144144,178.0,186.0,134.0,178.0,169.0
30,6,100,20.0,99,2206,24.369494197198176,16.232779465095195,0.8210580148382391,70.4691144144144,178.0,186.0,134.0,178.0,169.0
7,6,400,,99,2229,24.351090075948235,15.062359802602073,0.8190591011016984,75.70357142857146,10.5,174.5,178.5,318.5,170.5
7,6,100,,99,2229,24.351090075948242,15.062359802602067,0.8190591011016983,75.70357142857142,6.5,178.5,182.5,314.5,170.5
7,6,400,20.0,99,2229,24.351090075948235,15.062359802602073,0.8190591011016984,75.70357142857146,10.5,174.5,178.5,318.5,170.5
