Datetime,MarginalES
2019-06-02 14:00:00,48.07
2019-06-03 14:00:00,58.5
2019-06-04 14:00:00,49.06
2019-06-05 14:00:00,42.09
2019-06-06 14:00:00,41.81
2019-06-07 14:00:00,43.99
2019-06-08 14:00:00,49.01
2019-06-09 14:00:00,50.48
2019-06-10 14:00:00,50.64
2019-06-11 14:00:00,45.72
2019-06-12 14:00:00,51.22
2019-06-13 14:00:00,49.11
2019-06-14 14:00:00,49.85
2019-06-15 14:00:00,49.45
2019-06-16 14:00:00,48.6
2019-06-17 14:00:00,50.95
2019-06-18 14:00:00,45.58
2019-06-19 14:00:00,51.0
2019-06-20 14:00:00,50.33
2019-06-21 14:00:00,49.81
2019-06-22 14:00:00,46.83
2019-06-23 14:00:00,43.14
2019-06-24 14:00:00,49.0
2019-06-25 14:00:00,51.02
2019-06-26 14:00:00,48.42
2019-06-27 14:00:00,50.5
2019-06-28 14:00:00,53.69
2019-06-29 14:00:00,51.2
2019-06-30 14:00:00,48.58
2019-07-01 14:00:00,53.19
2019-07-02 14:00:00,53.77
2019-07-03 14:00:00,53.99
2019-07-04 14:00:00,55.05
2019-07-05 14:00:00,57.9
2019-07-06 14:00:00,53.01
2019-07-07 14:00:00,54.52
2019-07-08 14:00:00,57.69
2019-07-09 14:00:00,55.62
2019-07-10 14:00:00,56.57
2019-07-11 14:00:00,57.08
2019-07-12 14:00:00,60.1
2019-07-13 14:00:00,55.01
2019-07-14 14:00:00,50.3
2019-07-15 14:00:00,57.31
2019-07-16 14:00:00,57.25
2019-07-17 14:00:00,57.31
2019-07-18 14:00:00,58.39
2019-07-19 14:00:00,57.05
2019-07-20 14:00:00,56.94
2019-07-21 14:00:00,54.31
2019-07-22 14:00:00,57.05
2019-07-23 14:00:00,55.4
2019-07-24 14:00:00,57.24
2019-07-25 14:00:00,57.08
2019-07-26 14:00:00,56.99
2019-07-27 14:00:00,49.48
2019-07-28 14:00:00,48.07
2019-07-29 14:00:00,55.0
2019-07-30 14:00:00,55.2
2019-07-31 14:00:00,52.19
2019-08-01 14:00:00,51.18
2019-08-02 14:00:00,51.7
2019-08-03 14:00:00,50.89
2019-08-04 14:00:00,49.47
2019-08-05 14:00:00,52.79
2019-08-06 14:00:00,52.03
2019-08-07 14:00:00,52.81
2019-08-08 14:00:00,50.47
2019-08-09 14:00:00,45.46
2019-08-10 14:00:00,48.05
2019-08-11 14:00:00,45.0
2019-08-12 14:00:00,48.5
2019-08-13 14:00:00,48.5
2019-08-14 14:00:00,48.0
2019-08-15 14:00:00,42.37
2019-08-16 14:00:00,47.5
2019-08-17 14:00:00,44.01
2019-08-18 14:00:00,41.89
2019-08-19 14:00:00,48.37
2019-08-20 14:00:00,46.25
2019-08-21 14:00:00,47.27
2019-08-22 14:00:00,46.04
2019-08-23 14:00:00,43.6
2019-08-24 14:00:00,43.3
2019-08-25 14:00:00,40.22
2019-08-26 14:00:00,43.45
2019-08-27 14:00:00,50.2
2019-08-28 14:00:00,51.49
2019-08-29 14:00:00,50.49
2019-08-30 14:00:00,50.05
2019-08-31 14:00:00,43.07
2019-09-01 14:00:00,42.59
2019-09-02 14:00:00,41.16
2019-09-03 14:00:00,49.0
2019-09-04 14:00:00,46.69
2019-09-05 14:00:00,41.21
2019-09-06 14:00:00,41.4
2019-09-07 14:00:00,35.05
2019-09-08 14:00:00,36.64
2019-09-09 14:00:00,45.23
2019-09-10 14:00:00,32.88
2019-09-11 14:00:00,34.2
2019-09-12 14:00:00,41.51
2019-09-13 14:00:00,41.01
2019-09-14 14:00:00,39.9
2019-09-15 14:00:00,39.77
2019-09-16 14:00:00,50.32
2019-09-17 14:00:00,50.11
2019-09-18 14:00:00,50.8
2019-09-19 14:00:00,51.0
2019-09-20 14:00:00,48.69
2019-09-21 14:00:00,39.0
2019-09-22 14:00:00,35.55
2019-09-23 14:00:00,45.77
2019-09-24 14:00:00,42.23
2019-09-25 14:00:00,46.83
2019-09-26 14:00:00,48.51
2019-09-27 14:00:00,48.94
2019-09-28 14:00:00,46.79
2019-09-29 14:00:00,42.08
2019-09-30 14:00:00,50.29
2019-10-01 14:00:00,46.89
2019-10-02 14:00:00,42.12
2019-10-03 14:00:00,45.25
2019-10-04 14:00:00,54.12
2019-10-05 14:00:00,49.0
2019-10-06 14:00:00,47.21
2019-10-07 14:00:00,48.8
2019-10-08 14:00:00,54.48
2019-10-09 14:00:00,52.1
2019-10-10 14:00:00,47.68
2019-10-11 14:00:00,47.0
2019-10-12 14:00:00,37.1
2019-10-13 14:00:00,35.25
2019-10-14 14:00:00,43.0
2019-10-15 14:00:00,45.27
2019-10-16 14:00:00,39.0
2019-10-17 14:00:00,46.48
2019-10-18 14:00:00,50.8
2019-10-19 14:00:00,42.96
2019-10-20 14:00:00,45.51
2019-10-21 14:00:00,53.99
2019-10-22 14:00:00,46.25
2019-10-23 14:00:00,46.35
2019-10-24 14:00:00,42.5
2019-10-25 14:00:00,46.5
2019-10-26 14:00:00,43.76
2019-10-27 14:00:00,43.21
2019-10-28 14:00:00,53.19
2019-10-29 14:00:00,53.31
2019-10-30 14:00:00,53.0
2019-10-31 14:00:00,49.0
2019-11-01 14:00:00,33.43
2019-11-02 14:00:00,27.9
2019-11-03 14:00:00,19.2
2019-11-04 14:00:00,33.32
2019-11-05 14:00:00,30.01
2019-11-06 14:00:00,40.38
2019-11-07 14:00:00,37.86
2019-11-08 14:00:00,34.33
2019-11-09 14:00:00,40.01
2019-11-10 14:00:00,34.31
2019-11-11 14:00:00,45.56
2019-11-12 14:00:00,47.24
2019-11-13 14:00:00,50.61
2019-11-14 14:00:00,42.96
2019-11-15 14:00:00,48.79
2019-11-16 14:00:00,47.65
2019-11-17 14:00:00,42.32
2019-11-18 14:00:00,50.77
2019-11-19 14:00:00,61.55
2019-11-20 14:00:00,61.42
2019-11-21 14:00:00,59.82
2019-11-22 14:00:00,49.49
2019-11-23 14:00:00,35.61
2019-11-24 14:00:00,42.01
2019-11-25 14:00:00,50.52
2019-11-26 14:00:00,47.5
2019-11-27 14:00:00,43.87
2019-11-28 14:00:00,44.21
2019-11-29 14:00:00,49.92
2019-11-30 14:00:00,40.77
2019-12-01 14:00:00,45.76
2019-12-02 14:00:00,45.95
2019-12-03 14:00:00,52.1
2019-12-04 14:00:00,56.01
2019-12-05 14:00:00,47.28
2019-12-06 14:00:00,48.31
2019-12-07 14:00:00,48.23
2019-12-08 14:00:00,42.01
2019-12-09 14:00:00,43.07
2019-12-10 14:00:00,46.99
2019-12-11 14:00:00,43.01
2019-12-12 14:00:00,40.75
2019-12-13 14:00:00,31.84
